<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20150824;110000;139.0000000;139.0000000;136.5100000;138.6400000;8233170
GAZP;60;20150824;120000;138.6300000;138.7000000;136.7000000;136.9400000;7128420
GAZP;60;20150824;130000;136.9600000;136.9800000;135.0000000;136.0800000;7423140
GAZP;60;20150824;140000;136.0800000;136.4400000;135.3500000;136.2000000;4199360
GAZP;60;20150824;150000;136.2000000;136.2300000;135.0000000;135.1100000;4347140
GAZP;60;20150824;160000;135.1700000;135.7800000;135.0200000;135.6000000;2270890
GAZP;60;20150824;170000;135.6000000;135.8100000;134.1000000;135.6400000;6895510
GAZP;60;20150824;180000;135.6000000;137.2900000;135.1300000;135.8000000;6910850
GAZP;60;20150824;190000;135.8400000;136.5000000;135.2700000;135.3500000;4159820
GAZP;60;20150825;110000;135.7200000;138.0000000;135.7200000;137.5500000;7149580
GAZP;60;20150825;120000;137.5400000;139.9000000;137.3800000;139.7500000;6833540
GAZP;60;20150825;130000;139.8000000;139.9900000;139.1200000;139.5000000;2999040
GAZP;60;20150825;140000;139.5500000;140.5100000;138.7900000;140.0800000;6474520
GAZP;60;20150825;150000;140.1000000;140.2900000;139.7100000;140.0900000;1835650
GAZP;60;20150825;160000;140.0800000;140.8000000;139.8000000;140.3600000;4121380
GAZP;60;20150825;170000;140.3500000;141.0000000;139.4000000;139.6600000;6468350
GAZP;60;20150825;180000;139.7600000;140.0800000;139.4000000;139.7900000;3318720
GAZP;60;20150825;190000;139.7900000;141.0000000;139.7100000;140.4000000;4899330
GAZP;60;20150826;110000;140.2100000;140.2300000;138.5100000;139.7300000;7274720
GAZP;60;20150826;120000;139.7200000;140.2900000;139.5000000;139.8000000;2814590
GAZP;60;20150826;130000;139.8000000;139.9800000;139.2500000;139.8000000;2857360
GAZP;60;20150826;140000;139.8000000;140.5000000;139.6100000;140.3400000;3039880
GAZP;60;20150826;150000;140.3400000;141.4000000;140.2600000;141.0400000;3626090
GAZP;60;20150826;160000;141.1000000;141.8500000;141.0400000;141.8200000;3982880
GAZP;60;20150826;170000;141.8300000;141.9500000;140.1000000;140.5000000;4239660
GAZP;60;20150826;180000;140.5100000;141.2000000;140.2500000;140.7300000;4654590
GAZP;60;20150826;190000;140.7200000;140.9400000;140.4600000;140.5100000;1992040
GAZP;60;20150827;110000;141.8500000;142.6500000;141.5900000;142.1200000;6452580
GAZP;60;20150827;120000;142.2000000;143.0000000;142.1600000;142.8900000;4645010
GAZP;60;20150827;130000;142.8900000;143.1400000;142.4000000;142.8900000;3601120
GAZP;60;20150827;140000;142.8500000;142.9000000;142.4400000;142.6300000;1957760
GAZP;60;20150827;150000;142.6200000;142.8500000;142.5300000;142.7100000;1325250
GAZP;60;20150827;160000;142.7100000;143.6100000;142.5900000;143.4200000;2499820
GAZP;60;20150827;170000;143.4000000;144.0000000;143.3000000;143.8500000;2842730
GAZP;60;20150827;180000;143.8500000;144.8000000;143.8300000;144.2500000;6332310
GAZP;60;20150827;190000;144.1500000;144.7000000;143.9000000;144.6000000;2958750
GAZP;60;20150828;110000;145.3000000;145.6900000;144.5000000;144.8600000;5364760
GAZP;60;20150828;120000;144.8900000;145.2500000;144.2300000;144.4100000;3786960
GAZP;60;20150828;130000;144.4100000;144.8000000;143.9100000;144.6900000;3474960
GAZP;60;20150828;140000;144.7000000;144.7500000;143.0500000;143.0800000;3752840
GAZP;60;20150828;150000;143.1200000;143.7600000;143.0400000;143.6100000;1545180
GAZP;60;20150828;160000;143.6700000;143.7000000;143.1000000;143.7000000;1456520
GAZP;60;20150828;170000;143.7000000;145.6500000;143.5900000;145.6400000;6456040
GAZP;60;20150828;180000;145.6400000;146.7700000;145.6100000;146.7600000;7363900
GAZP;60;20150828;190000;146.7600000;147.3500000;146.6000000;146.6000000;5119000
GAZP;60;20150831;110000;145.8900000;146.5900000;145.7400000;146.1500000;3885100
GAZP;60;20150831;120000;146.1500000;147.7500000;146.0300000;147.3900000;4291330
GAZP;60;20150831;130000;147.4600000;147.4900000;146.5100000;146.8400000;2172480
GAZP;60;20150831;140000;146.9200000;147.1300000;146.7500000;146.8600000;1103820
GAZP;60;20150831;150000;146.7800000;146.9800000;146.0000000;146.3100000;2056460
GAZP;60;20150831;160000;146.3800000;146.4000000;145.5100000;145.9000000;3468500
GAZP;60;20150831;170000;145.9700000;146.7500000;145.1600000;145.5400000;3102270
GAZP;60;20150831;180000;145.5400000;146.9200000;145.5000000;146.7100000;2736500
GAZP;60;20150831;190000;146.7300000;148.1900000;146.5200000;148.1900000;6009470
GAZP;60;20150901;110000;148.1900000;148.2000000;146.0500000;146.1200000;9141470
GAZP;60;20150901;120000;146.1200000;146.4000000;145.0400000;145.3700000;4779920
GAZP;60;20150901;130000;145.3700000;145.9900000;144.5500000;145.6500000;5253310
GAZP;60;20150901;140000;145.6500000;145.8900000;144.5900000;145.3600000;2636190
GAZP;60;20150901;150000;145.3300000;146.4900000;145.2200000;145.3300000;2796570
GAZP;60;20150901;160000;145.3300000;145.3300000;144.3600000;144.5000000;1679000
GAZP;60;20150901;170000;144.5100000;145.1400000;144.2900000;144.3500000;3076270
GAZP;60;20150901;180000;144.3400000;145.0000000;144.0500000;144.0900000;2865600
GAZP;60;20150901;190000;144.1000000;144.5000000;143.7000000;144.5000000;2973180
GAZP;60;20150902;110000;144.1000000;145.2700000;143.2500000;144.4700000;5356690
GAZP;60;20150902;120000;144.5000000;144.5300000;143.3700000;143.6500000;2788360
GAZP;60;20150902;130000;143.6900000;143.7900000;142.8000000;142.9200000;3308370
GAZP;60;20150902;140000;142.9400000;143.1800000;142.2500000;142.9700000;3125960
GAZP;60;20150902;150000;143.0700000;143.9500000;142.9400000;143.4200000;2244040
GAZP;60;20150902;160000;143.5000000;145.0000000;143.0100000;144.9400000;3434290
GAZP;60;20150902;170000;144.9900000;145.5000000;144.0000000;144.1300000;4457880
GAZP;60;20150902;180000;144.2000000;144.8700000;142.8000000;142.8700000;5791510
GAZP;60;20150902;190000;142.8100000;143.6200000;142.5700000;142.5700000;3007200
GAZP;60;20150903;110000;143.6800000;144.1900000;143.3000000;143.8500000;4208640
GAZP;60;20150903;120000;143.8400000;143.9900000;142.8400000;143.1600000;3482670
GAZP;60;20150903;130000;143.2700000;143.7000000;142.7000000;142.9500000;1811380
GAZP;60;20150903;140000;142.9100000;143.4000000;142.7800000;143.2000000;1028470
GAZP;60;20150903;150000;143.1600000;143.5000000;142.8500000;143.4200000;1045430
GAZP;60;20150903;160000;143.4200000;144.8800000;143.3900000;143.8000000;6162330
GAZP;60;20150903;170000;143.8400000;145.2000000;143.8300000;144.7600000;3364240
GAZP;60;20150903;180000;144.7600000;145.9500000;144.3400000;145.6800000;5029280
GAZP;60;20150903;190000;145.6900000;145.8000000;145.0500000;145.3000000;1954570
GAZP;60;20150904;110000;144.9000000;145.1300000;143.9500000;144.1000000;4442770
GAZP;60;20150904;120000;144.1000000;144.6000000;143.7000000;144.2900000;1973080
GAZP;60;20150904;130000;144.2900000;144.6000000;143.8500000;143.8500000;1521440
GAZP;60;20150904;140000;143.8500000;144.2000000;143.5500000;143.6500000;2407790
GAZP;60;20150904;150000;143.6000000;143.7000000;143.0100000;143.4500000;2475670
GAZP;60;20150904;160000;143.4000000;143.8400000;142.6000000;142.6000000;4621990
GAZP;60;20150904;170000;142.6000000;143.3000000;142.2700000;142.4700000;3153370
GAZP;60;20150904;180000;142.4200000;142.9900000;142.1700000;142.8400000;2940300
GAZP;60;20150904;190000;142.8400000;142.9900000;142.4000000;142.8000000;2302470
GAZP;60;20150907;110000;142.5100000;143.2000000;142.1900000;143.1900000;3029040
GAZP;60;20150907;120000;143.1400000;143.4000000;142.2000000;142.4100000;3849450
GAZP;60;20150907;130000;142.4000000;143.3000000;142.1500000;142.7000000;2391170
GAZP;60;20150907;140000;142.7000000;142.7400000;142.2500000;142.3600000;974540
GAZP;60;20150907;150000;142.3400000;142.8700000;142.2200000;142.5100000;901040
GAZP;60;20150907;160000;142.5700000;142.6900000;142.3400000;142.5100000;306650
GAZP;60;20150907;170000;142.5000000;142.5600000;141.8100000;142.0000000;1938380
GAZP;60;20150907;180000;142.0100000;142.0100000;141.3200000;141.7100000;2804560
GAZP;60;20150907;190000;141.7100000;142.1000000;141.5900000;141.6700000;1715910
GAZP;60;20150908;110000;142.2700000;143.5500000;142.2300000;142.8700000;5934040
GAZP;60;20150908;120000;142.8400000;142.9900000;142.6000000;142.8000000;1458310
GAZP;60;20150908;130000;142.8500000;143.9700000;142.8100000;143.9400000;5205840
GAZP;60;20150908;140000;143.9400000;144.3900000;143.7000000;144.1900000;3084880
GAZP;60;20150908;150000;144.1900000;144.2000000;143.5000000;143.5600000;1385270
GAZP;60;20150908;160000;143.6200000;143.6200000;143.5700000;143.5900000;7320
GAZP;60;20150908;170000;143.6000000;143.9000000;143.5400000;143.8000000;165490
GAZP;60;20150908;180000;143.7400000;143.8600000;143.0200000;143.5200000;3634070
GAZP;60;20150908;190000;143.5200000;143.7500000;143.2100000;143.2100000;1412270
GAZP;60;20150909;110000;144.3000000;145.2000000;144.1100000;145.1200000;5073720
GAZP;60;20150909;120000;145.1000000;145.2000000;144.7600000;144.9900000;2181210
GAZP;60;20150909;130000;144.9400000;145.0000000;144.6200000;144.7200000;1923270
GAZP;60;20150909;140000;144.7900000;144.9000000;144.2600000;144.3000000;1563050
GAZP;60;20150909;150000;144.3100000;144.6900000;144.2500000;144.5600000;1459170
GAZP;60;20150909;160000;144.5000000;145.1100000;144.5000000;145.0000000;1781300
GAZP;60;20150909;170000;145.0000000;145.4000000;144.8100000;145.0800000;2916550
GAZP;60;20150909;180000;145.0900000;145.2500000;144.5000000;144.5700000;2226120
GAZP;60;20150909;190000;144.6300000;144.8500000;144.2200000;144.2200000;1963060
GAZP;60;20150910;110000;143.6100000;144.0000000;143.2600000;143.9700000;2927460
GAZP;60;20150910;120000;143.9800000;144.6300000;143.7200000;144.4800000;2103710
GAZP;60;20150910;130000;144.4900000;144.7800000;144.2500000;144.3700000;1513480
GAZP;60;20150910;140000;144.3700000;144.5000000;144.1600000;144.3500000;1053640
GAZP;60;20150910;150000;144.3500000;144.3500000;143.7700000;143.8500000;1538530
GAZP;60;20150910;160000;143.7700000;143.8900000;143.3800000;143.5800000;1975470
GAZP;60;20150910;170000;143.5600000;144.3300000;143.3300000;143.4000000;2679420
GAZP;60;20150910;180000;143.4000000;143.5500000;142.3500000;143.3000000;6599270
GAZP;60;20150910;190000;143.2600000;143.2600000;142.6000000;142.9900000;4292410
GAZP;60;20150911;110000;143.2600000;143.5000000;142.5700000;142.7300000;3490310
GAZP;60;20150911;120000;142.7300000;142.9000000;141.8500000;141.9100000;4319910
GAZP;60;20150911;130000;141.9100000;142.0700000;141.3400000;141.5500000;5115950
GAZP;60;20150911;140000;141.5200000;141.8200000;141.2000000;141.7600000;3868160
GAZP;60;20150911;150000;141.7500000;142.0500000;141.6600000;142.0500000;1058260
GAZP;60;20150911;160000;142.0400000;142.0500000;141.7400000;141.9700000;756150
GAZP;60;20150911;170000;141.9400000;141.9900000;141.5100000;141.7800000;1336250
GAZP;60;20150911;180000;141.7100000;142.5900000;141.6100000;142.4200000;3113860
GAZP;60;20150911;190000;142.4200000;142.4900000;142.1700000;142.4000000;2301950
GAZP;60;20150914;110000;142.2600000;143.1500000;142.1000000;142.7900000;3729680
GAZP;60;20150914;120000;142.8400000;143.3500000;142.7800000;143.1100000;3685260
GAZP;60;20150914;130000;143.1300000;143.6800000;143.0500000;143.5400000;3747140
GAZP;60;20150914;140000;143.5500000;143.8700000;143.4200000;143.4400000;1838610
GAZP;60;20150914;150000;143.4400000;143.4900000;143.0000000;143.0500000;1159260
GAZP;60;20150914;160000;143.0300000;143.2000000;143.0200000;143.1000000;761990
GAZP;60;20150914;170000;143.1000000;143.1500000;142.8000000;142.8300000;1133310
GAZP;60;20150914;180000;142.8600000;143.7200000;142.8300000;143.4500000;2590950
GAZP;60;20150914;190000;143.4400000;143.6000000;143.2700000;143.5800000;1904570
GAZP;60;20150915;110000;143.5500000;143.8000000;142.8000000;143.2500000;3148630
GAZP;60;20150915;120000;143.2200000;143.2500000;142.3000000;142.4800000;2495060
GAZP;60;20150915;130000;142.4800000;142.5600000;142.2700000;142.4000000;1349180
GAZP;60;20150915;140000;142.4300000;142.5600000;142.2500000;142.5400000;1051600
GAZP;60;20150915;150000;142.5200000;142.5300000;141.9000000;141.9800000;1867030
GAZP;60;20150915;160000;141.9800000;142.1100000;141.5700000;141.6000000;6634370
GAZP;60;20150915;170000;141.6000000;142.2500000;141.4500000;141.8500000;2795920
GAZP;60;20150915;180000;141.8500000;142.5500000;141.5500000;142.3500000;3144970
GAZP;60;20150915;190000;142.3100000;142.5000000;141.9500000;141.9500000;1898700
GAZP;60;20150916;110000;142.4000000;142.8900000;142.1300000;142.4200000;2031540
GAZP;60;20150916;120000;142.4200000;142.8800000;142.2500000;142.8700000;2972450
GAZP;60;20150916;130000;142.8700000;143.1700000;142.7000000;143.0400000;2537160
GAZP;60;20150916;140000;143.0400000;143.1000000;142.3600000;142.5000000;2491430
GAZP;60;20150916;150000;142.4600000;142.6000000;142.1700000;142.5700000;1404800
GAZP;60;20150916;160000;142.5200000;142.8000000;142.0500000;142.1000000;5413140
GAZP;60;20150916;170000;142.1100000;142.2100000;141.6000000;141.8000000;4424480
GAZP;60;20150916;180000;141.8200000;142.8700000;141.7100000;142.8400000;4209370
GAZP;60;20150916;190000;142.8100000;142.9100000;142.6000000;142.9100000;1973590
GAZP;60;20150917;110000;142.9900000;143.0300000;142.3100000;142.4200000;3102110
GAZP;60;20150917;120000;142.4200000;142.8300000;142.3300000;142.6300000;1196680
GAZP;60;20150917;130000;142.6600000;143.2500000;142.5200000;143.1500000;3049360
GAZP;60;20150917;140000;143.1500000;143.2700000;142.6300000;142.7200000;1619530
GAZP;60;20150917;150000;142.7300000;142.9100000;142.7000000;142.8000000;478490
